16:18:50 [INFO] (Info) Create GameServer (ID:10461571), Max Sessions:1000 [OK]
16:18:50 [INFO] (Info) Create GameServer (ID:10436483), Max Sessions:1000 [OK]
16:18:58 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54347
16:21:42 [INFO] (Info) Create GameServer (ID:10465460), Max Sessions:1000 [OK]
16:21:42 [INFO] (Info) Create GameServer (ID:10461195), Max Sessions:1000 [OK]
16:21:52 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54360
16:25:38 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54360
17:03:46 [INFO] (Info) Create GameServer (ID:10384835), Max Sessions:1000 [OK]
17:03:46 [INFO] (Info) Create GameServer (ID:10430361), Max Sessions:1000 [OK]
17:03:57 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54422
17:03:58 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54422
17:04:08 [INFO] (Accept) Session accept ID: 1, Address: 127.0.0.1:54423
17:05:39 [INFO] (Close) Session closed ID: 1, Address: 127.0.0.1:54423
17:27:21 [INFO] (Info) Create GameServer (ID:10395252), Max Sessions:1000 [OK]
17:27:21 [INFO] (Info) Create GameServer (ID:10466178), Max Sessions:1000 [OK]
21:29:08 [INFO] (Info) Create GameServer (ID:10390122), Max Sessions:1000 [OK]
21:29:08 [INFO] (Info) Create GameServer (ID:10469837), Max Sessions:1000 [OK]
21:29:18 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54740
21:31:27 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54740
21:32:26 [INFO] (Info) Create GameServer (ID:10391976), Max Sessions:1000 [OK]
21:32:26 [INFO] (Info) Create GameServer (ID:10465846), Max Sessions:1000 [OK]
21:36:50 [INFO] (Info) Create GameServer (ID:10407893), Max Sessions:1000 [OK]
21:36:50 [INFO] (Info) Create GameServer (ID:10436154), Max Sessions:1000 [OK]
21:36:56 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54770
21:37:18 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54770
21:38:44 [INFO] (Accept) Session accept ID: 1, Address: 127.0.0.1:54772
21:39:57 [INFO] (Close) Session closed ID: 1, Address: 127.0.0.1:54772
21:40:42 [INFO] (Accept) Session accept ID: 2, Address: 127.0.0.1:54784
21:41:26 [INFO] (Close) Session closed ID: 2, Address: 127.0.0.1:54784
21:43:12 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54787
21:44:59 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54787
21:48:53 [INFO] (Accept) Session accept ID: 1, Address: 127.0.0.1:54795
21:55:16 [INFO] (Close) Session closed ID: 1, Address: 127.0.0.1:54795
21:57:46 [INFO] (Accept) Session accept ID: 2, Address: 127.0.0.1:54805
21:58:11 [INFO] (Close) Session closed ID: 2, Address: 127.0.0.1:54805
22:00:26 [INFO] (Accept) Session accept ID: 3, Address: 127.0.0.1:54809
22:00:55 [INFO] (Close) Session closed ID: 3, Address: 127.0.0.1:54809
22:01:18 [INFO] (Info) Create GameServer (ID:10453642), Max Sessions:1000 [OK]
22:01:18 [INFO] (Info) Create GameServer (ID:10413362), Max Sessions:1000 [OK]
22:01:22 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54827
22:01:34 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54827
22:13:46 [INFO] (Info) Create GameServer (ID:10432856), Max Sessions:1000 [OK]
22:13:46 [INFO] (Info) Create GameServer (ID:10397101), Max Sessions:1000 [OK]
22:15:31 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54868
22:15:32 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54868
22:16:54 [INFO] (Info) Create GameServer (ID:10408125), Max Sessions:1000 [OK]
22:16:54 [INFO] (Info) Create GameServer (ID:10411128), Max Sessions:1000 [OK]
22:18:07 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54887
22:18:15 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54887
22:19:01 [INFO] (Accept) Session accept ID: 1, Address: 127.0.0.1:54889
22:19:09 [INFO] (Close) Session closed ID: 1, Address: 127.0.0.1:54889
22:21:19 [INFO] (Accept) Session accept ID: 2, Address: 127.0.0.1:54892
22:22:01 [INFO] (Close) Session closed ID: 2, Address: 127.0.0.1:54892
22:22:45 [INFO] (Accept) Session accept ID: 3, Address: 127.0.0.1:54897
22:24:45 [INFO] (Close) Session closed ID: 3, Address: 127.0.0.1:54897
22:25:51 [INFO] (Accept) Session accept ID: 4, Address: 127.0.0.1:54902
22:27:38 [INFO] (Close) Session closed ID: 4, Address: 127.0.0.1:54902
22:29:28 [INFO] (Accept) Session accept ID: 5, Address: 127.0.0.1:54904
22:33:56 [INFO] (Close) Session closed ID: 5, Address: 127.0.0.1:54904
22:34:50 [INFO] (Accept) Session accept ID: 6, Address: 127.0.0.1:54912
22:34:53 [INFO] (Close) Session closed ID: 6, Address: 127.0.0.1:54912
22:38:40 [INFO] (Info) Create GameServer (ID:10451668), Max Sessions:1000 [OK]
22:38:40 [INFO] (Info) Create GameServer (ID:10415982), Max Sessions:1000 [OK]
22:39:46 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54927
22:39:54 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54927
22:41:26 [INFO] (Info) Create GameServer (ID:10469702), Max Sessions:1000 [OK]
22:41:26 [INFO] (Info) Create GameServer (ID:10387709), Max Sessions:1000 [OK]
22:42:25 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54942
22:42:33 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:54942
22:43:31 [INFO] (Accept) Session accept ID: 1, Address: 127.0.0.1:54944
22:47:42 [INFO] (Close) Session closed ID: 1, Address: 127.0.0.1:54944
22:50:49 [INFO] (Info) Create GameServer (ID:10411048), Max Sessions:1000 [OK]
22:50:49 [INFO] (Info) Create GameServer (ID:10383901), Max Sessions:1000 [OK]
22:54:06 [INFO] (Info) Create GameServer (ID:10466703), Max Sessions:1000 [OK]
22:54:06 [INFO] (Info) Create GameServer (ID:10468163), Max Sessions:1000 [OK]
22:55:12 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:54982
